Temperature,Humidity,Wind Speed,Dew Point,Farming Activity
12,73,10,16,1
13,77,15,14,1
17,74,13,12,1
16,79,15,16,1
16,71,10,12,1
17,72,12,13,1
18,74,10,15,1
14,72,12,14,1
15,80,10,13,1
17,75,12,14,1
29,80,10,14,2
23,64,15,14,2
20,64,11,14,2
23,80,10,17,2
27,62,12,13,2
18,80,15,13,2
22,61,12,16,2
23,78,15,15,2
20,62,15,13,2
21,75,10,10,2
30,66,15,14,3
30,67,13,18,3
28,73,12,19,3
29,70,14,15,3
27,78,15,17,3
20,74,13,19,3
18,66,12,11,3
22,64,15,18,3
26,77,14,17,3
18,80,14,15,3
23,62,12,21,4
26,70,12,19,4
30,61,10,10,4
20,66,14,16,4
19,71,14,13,4
25,69,15,14,4
18,68,15,18,4
26,63,14,14,4
20,64,12,13,4
19,66,13,15,4
19,77,13,21,5
19,60,15,21,5
19,66,10,10,5
24,77,12,10,5
24,73,12,10,5
20,60,14,11,5
18,78,15,15,5
27,72,14,10,5
20,66,10,19,5
20,68,15,19,5
21,66,14,17,6
28,58,11,21,6
24,53,11,12,6
30,57,12,14,6
25,64,15,21,6
19,56,13,12,6
27,69,15,17,6
28,61,13,19,6
27,70,11,21,6
21,67,13,18,6
24,67,12,11,7
25,69,14,16,7
20,52,14,18,7
19,56,12,10,7
25,53,14,21,7
24,66,14,18,7
21,55,12,14,7
26,51,11,16,7
26,55,15,18,7
21,57,13,14,7
28,54,14,18,8
27,64,11,14,8
21,56,12,11,8
18,51,13,20,8
23,58,14,13,8
18,65,15,18,8
23,66,10,17,8
30,64,15,21,8
19,61,12,10,8
27,64,13,12,8
21,75,10,11,9
24,73,14,10,9
18,60,13,12,9
24,73,11,19,9
27,72,10,17,9
20,68,15,17,9
23,79,12,11,9
24,69,10,11,9
18,80,11,11,9
26,64,11,14,9
29,67,15,19,10
29,75,14,12,10
17,65,14,18,10
21,73,12,10,10
25,67,11,20,10
17,67,12,15,10
20,76,14,11,10
28,79,14,20,10
27,65,10,20,10
22,66,12,20,10
20,70,10,16,11
16,59,12,17,11
18,68,10,21,11
22,65,11,16,11
24,53,12,10,11
16,50,10,12,11
25,64,11,14,11
23,56,12,14,11
21,70,13,12,11
23,62,14,13,11
31,54,10,10,12
31,32,15,6,12
27,41,13,10,12
28,58,14,11,12
31,55,12,6,12
29,58,12,8,12
28,41,11,14,12
32,49,11,6,12
32,44,14,7,12
27,30,15,10,12
17,51,12,21,13
16,69,11,26,13
18,57,13,24,13
27,69,14,10,13
20,56,11,19,13
16,50,15,17,13
27,69,14,27,13
16,63,14,22,13
24,59,10,16,13
27,56,15,17,13
14,55,14,17,14
23,65,13,16,14
17,57,15,17,14
23,62,14,14,14
15,56,15,8,14
21,60,12,18,14
17,58,11,16,14
21,65,11,8,14
10,64,13,10,14
10,64,15,17,14
