Date,Time,Temp Out,Out Hum,Dew Pt.,Wind Speed
2022-07-01,16:00,30.4,74.0,25.3,3.4
2022-07-01,23:00,25.4,93.0,24.1,2.6
2022-07-01,22:00,25.6,92.0,24.2,3.9
2022-07-01,21:00,26.0,91.0,24.4,5.0
2022-07-01,20:00,26.1,90.0,24.3,6.6
2022-07-01,19:00,26.6,89.0,24.6,5.5
2022-07-01,18:00,27.2,84.0,24.3,4.0
2022-07-01,17:00,28.6,80.0,24.7,3.1
2022-07-01,15:00,30.1,77.0,25.6,4.2
2022-07-01,14:00,29.8,78.0,25.6,5.1
2022-07-01,12:00,28.9,80.0,25.0,4.5
2022-07-01,11:00,28.7,80.0,25.0,2.7
2022-07-01,13:00,29.8,78.0,25.6,5.9
2022-07-01,09:00,26.9,86.0,24.4,1.8
2022-07-01,08:00,26.9,86.0,24.4,0.4
2022-07-01,07:00,26.8,89.0,24.9,3.3
2022-07-01,06:00,26.6,91.0,25.0,2.2
2022-07-01,05:00,25.0,96.0,24.2,2.3
2022-07-01,04:00,25.3,95.0,24.4,2.4
2022-07-01,03:00,25.3,94.0,24.2,2.5
2022-07-01,02:00,25.3,93.0,24.1,1.8
2022-07-01,01:00,25.3,94.0,24.3,2.3
2022-07-01,00:00,25.8,94.0,24.7,1.3
2022-07-01,10:00,28.5,81.0,25.0,2.6
2022-07-02,18:00,27.5,84.0,24.5,5.8
2022-07-02,14:00,30.7,74.0,25.4,10.2
2022-07-02,15:00,30.5,73.0,25.2,11.5
2022-07-02,17:00,29.0,77.0,24.7,10.5
2022-07-02,19:00,27.4,85.0,24.7,4.3
2022-07-02,16:00,30.1,75.0,25.1,11.9
2022-07-02,21:00,27.0,89.0,25.0,0.8
2022-07-02,22:00,26.1,91.0,24.5,0.4
2022-07-02,23:00,26.3,90.0,24.6,1.8
2022-07-02,12:00,29.7,76.0,25.1,9.7
2022-07-02,20:00,27.2,88.0,24.9,2.7
2022-07-02,11:00,29.5,78.0,25.3,8.4
2022-07-02,13:00,30.8,73.0,25.3,10.2
2022-07-02,09:00,26.5,86.0,24.0,2.6
2022-07-02,10:00,29.3,79.0,25.2,5.2
2022-07-02,01:00,25.3,93.0,24.0,2.0
2022-07-02,02:00,25.1,93.0,23.8,4.0
2022-07-02,03:00,24.9,93.0,23.6,5.4
2022-07-02,04:00,24.9,91.0,23.4,5.6
2022-07-02,00:00,25.4,93.0,24.1,2.0
2022-07-02,06:00,26.2,88.0,24.1,5.1
2022-07-02,07:00,26.4,87.0,24.2,3.9
2022-07-02,08:00,26.6,86.0,24.1,2.5
2022-07-02,05:00,24.9,92.0,23.4,5.4
2022-07-03,22:00,26.5,90.0,24.8,4.0
2022-07-03,13:00,32.0,66.0,24.9,5.1
2022-07-03,21:00,27.3,88.0,25.2,3.7
2022-07-03,20:00,27.5,86.0,25.0,4.1
2022-07-03,19:00,27.5,83.0,24.4,4.7
2022-07-03,18:00,27.7,81.0,24.2,4.2
2022-07-03,17:00,29.1,77.0,24.7,9.2
2022-07-03,16:00,30.7,72.0,25.1,6.6
2022-07-03,15:00,31.3,70.0,25.1,5.4
2022-07-03,23:00,26.4,91.0,24.9,3.4
2022-07-03,14:00,31.7,67.0,24.8,4.1
2022-07-03,12:00,31.0,69.0,24.7,4.3
2022-07-03,07:00,27.2,84.0,24.4,1.3
2022-07-03,10:00,30.9,69.0,24.5,1.9
2022-07-03,09:00,28.4,76.0,23.8,2.5
2022-07-03,08:00,27.9,80.0,24.0,1.5
2022-07-03,06:00,26.7,86.0,24.2,1.6
2022-07-03,05:00,25.0,93.0,23.9,2.9
2022-07-03,04:00,25.5,90.0,23.8,2.2
2022-07-03,03:00,25.6,90.0,23.9,2.5
2022-07-03,02:00,26.0,89.0,24.1,3.6
2022-07-03,01:00,25.9,90.0,24.1,3.8
2022-07-03,00:00,26.2,90.0,24.4,2.9
2022-07-03,11:00,31.0,68.0,24.5,4.1
2022-07-04,14:00,31.4,67.0,24.7,10.2
2022-07-04,18:00,27.2,85.0,24.4,1.8
2022-07-04,15:00,30.8,71.0,25.0,10.9
2022-07-04,16:00,30.4,74.0,25.2,6.2
2022-07-04,19:00,26.7,87.0,24.4,2.5
2022-07-04,17:00,28.3,79.0,24.3,4.7
2022-07-04,21:00,25.8,92.0,24.4,3.2
2022-07-04,22:00,25.4,92.0,24.1,2.5
2022-07-04,23:00,25.4,93.0,24.1,3.2
2022-07-04,12:00,31.5,67.0,24.6,8.2
2022-07-04,20:00,25.9,90.0,24.2,4.0
2022-07-04,11:00,31.1,68.0,24.6,7.4
2022-07-04,13:00,31.7,66.0,24.6,9.6
2022-07-04,09:00,28.1,80.0,24.3,3.3
2022-07-04,01:00,25.5,93.0,24.3,2.4
2022-07-04,02:00,25.8,92.0,24.5,0.7
2022-07-04,03:00,25.5,93.0,24.4,1.8
2022-07-04,04:00,25.5,93.0,24.3,2.3
2022-07-04,05:00,25.6,93.0,24.4,1.5
2022-07-04,00:00,26.2,91.0,24.7,3.3
2022-07-04,06:00,26.6,89.0,24.5,2.9
2022-07-04,07:00,27.4,85.0,24.6,1.1
2022-07-04,08:00,27.6,83.0,24.5,1.6
2022-07-04,10:00,30.5,71.0,24.7,5.8
2022-07-05,13:00,30.7,68.0,24.2,6.1
2022-07-05,22:00,25.1,94.0,24.0,1.1
2022-07-05,21:00,26.7,90.0,24.9,1.6
2022-07-05,20:00,26.8,89.0,24.8,2.3
2022-07-05,19:00,27.1,87.0,24.8,1.3
2022-07-05,18:00,27.4,85.0,24.7,4.1
2022-07-05,17:00,27.2,82.0,24.0,3.5
2022-07-05,16:00,30.0,73.0,24.6,7.7
2022-07-05,15:00,30.9,68.0,24.2,7.6
2022-07-05,14:00,30.7,69.0,24.3,5.4
2022-07-05,23:00,24.9,94.0,24.0,1.6
2022-07-05,12:00,30.6,73.0,25.2,5.8
2022-07-05,11:00,30.1,74.0,25.0,5.8
2022-07-05,10:00,29.1,81.0,25.4,5.4
2022-07-05,09:00,27.1,85.0,24.4,4.0
2022-07-05,08:00,26.5,86.0,24.0,3.3
2022-07-05,07:00,26.4,88.0,24.2,3.3
2022-07-05,06:00,26.1,90.0,24.3,3.0
2022-07-05,05:00,25.3,94.0,24.2,3.9
2022-07-05,04:00,24.8,94.0,23.8,5.8
2022-07-05,03:00,24.9,94.0,23.9,6.0
2022-07-05,02:00,25.1,93.0,23.9,5.5
2022-07-05,01:00,25.1,93.0,23.8,5.2
